"code","label","list"
"-999","Does not know","region"
"-777","Not listed","region"
"1","Addis Ababa","region"
"2","Afar","region"
"3","Amhara","region"
"4","Benishangul-Gumuz","region"
"5","Central Ethiopia","region"
"6","Dire Dawa","region"
"7","Gambela","region"
"8","Harari","region"
"9","Oromia","region"
"10","Sidama","region"
"11","Somali","region"
"12","South Ethiopia","region"
"13","Southwest Ethiopia","region"
"14","Tigray","region"
"-777","Not listed","zone"
"1","Addis Ababa","zone"
"2","Argobba","zone"
"3","Awsi Rasu","zone"
"4","Fanti Rasu","zone"
"5","Gabi Rasu","zone"
"6","Hari Rasu","zone"
"7","Kilbati Rasu","zone"
"8","Mahi Rasu","zone"
"9","Agew Awi","zone"
"10","Bahir Dar Specaial Zone","zone"
"11","East Gojjam","zone"
"12","North Gondar","zone"
"13","North Shewa","zone"
"14","North Wollo","zone"
"15","Oromia Zone","zone"
"16","South Gondar","zone"
"17","South Wollo","zone"
"18","Wag Hemra","zone"
"19","West Gojjam","zone"
"20","Asosa","zone"
"21","Kamashi","zone"
"22","Metekel","zone"
"33","Dire Dawa","zone"
"34","Anywaa","zone"
"35","Itang","zone"
"36","Majang","zone"
"37","Nuer","zone"
"38","Abadir","zone"
"39","Aboker","zone"
"40","Amir Nur","zone"
"41","Dire Teyara","zone"
"42","Erer","zone"
"43","Hakim","zone"
"44","Jinella","zone"
"45","Shenkor","zone"
"46","Sofi","zone"
"47","Arsi","zone"
"48","Bale","zone"
"49","Borena","zone"
"50","Buno Bedele","zone"
"51","East Hararghe","zone"
"52","East Shewa","zone"
"53","East Welega","zone"
"54","Guji","zone"
"55","Horo Guduru Welega","zone"
"56","Ilu Aba Bora","zone"
"57","Jimma","zone"
"58","Kelem Welega","zone"
"59","North Shewa","zone"
"60","Oromia Special Zone Surrounding Finfinne","zone"
"61","South West Shewa","zone"
"62","West Arsi","zone"
"63","West Guji","zone"
"64","West Hararghe","zone"
"65","West Shewa","zone"
"66","West Welega","zone"
"87","Afder","zone"
"88","Degehabur","zone"
"89","Dhawa","zone"
"90","Dollo","zone"
"91","Erer","zone"
"92","Fafan","zone"
"93","Gode","zone"
"94","Harawo","zone"
"95","Jarar","zone"
"96","Kebri Beyah","zone"
"97","Kebri Dehar","zone"
"98","Korahe","zone"
"99","Liben","zone"
"100","Nogob","zone"
"101","Shabelle","zone"
"102","Sitti","zone"
"103","Tog Wajale","zone"
"116","Bench Sheko","zone"
"117","Dawro","zone"
"118","Keffa","zone"
"119","Konta","zone"
"120","Sheka","zone"
"121","West Omo","zone"
"122","Central Tigray","zone"
"123","East Tigray","zone"
"124","Mekelle Special Zone","zone"
"125","North West Tigray","zone"
"126","South East Tigray","zone"
"127","South Tigray","zone"
"128","West Tigray","zone"
"129","Eastern Sidama","zone"
"130","Central Sidama","zone"
"131","Northern Sidama","zone"
"132","Southern Sidama","zone"
"133","Hawassa City Administration","zone"
"134","Wolayta","zone"
"135","Gedeo","zone"
"136","Gamo","zone"
"137","Gofa","zone"
"138","Konso","zone"
"139","Kore/Amaro","zone"
