"batch","firm","rostered","cell","line","interviewed","excluded","usable","typed","coverage"
"batch_01","Firm B",71,71,TRUE,69,12,57,57,0.8
"batch_02","Firm A",73,63,FALSE,66,0,66,65,0.89
"batch_03","Firm B",55,55,TRUE,49,0,49,47,0.85
"batch_04","Firm A",44,44,TRUE,32,0,32,32,0.73
"batch_05","Firm A",55,43,FALSE,51,0,51,51,0.93
"batch_06","Firm B",42,42,TRUE,36,0,36,36,0.86
"batch_07","Firm A",40,37,FALSE,21,0,21,18,0.45
"batch_08","Firm C",35,35,TRUE,28,0,28,26,0.74
"batch_09","Firm B",28,28,TRUE,24,0,24,24,0.86
"batch_10","Firm C",27,27,TRUE,17,0,17,16,0.59
"batch_11","Firm C",27,27,TRUE,5,0,5,5,0.19
"batch_12","Firm A",30,25,FALSE,21,0,21,21,0.7
"batch_13","Firm B",21,21,TRUE,15,0,15,14,0.67
"batch_14","Firm B",21,21,TRUE,18,0,18,18,0.86
"batch_15","Firm B",21,21,TRUE,11,0,11,10,0.48
"batch_16","Firm A",39,18,FALSE,37,0,37,36,0.92
"batch_17","Firm B",18,18,TRUE,15,0,15,15,0.83
"batch_18","Firm C",17,17,TRUE,8,0,8,8,0.47
"batch_19","Firm A",36,17,FALSE,34,0,34,33,0.92
"batch_20","Firm B",17,17,TRUE,17,0,17,16,0.94
"batch_21","Firm B",14,14,TRUE,12,0,12,12,0.86
"batch_22","Firm E",16,13,FALSE,12,0,12,12,0.75
"batch_23","Firm B",13,13,TRUE,11,0,11,11,0.85
"batch_24","Firm A",25,12,FALSE,20,0,20,20,0.8
"batch_25","Firm A",24,12,FALSE,19,0,19,19,0.79
"batch_26","Firm C",11,11,TRUE,6,0,6,6,0.55
"batch_27","Firm E",10,10,TRUE,7,0,7,6,0.6
"batch_28","Firm E",10,10,TRUE,3,0,3,3,0.3
"batch_29","Firm A",91,10,FALSE,82,0,82,81,0.89
"batch_30","Firm C",9,9,TRUE,4,0,4,4,0.44
"batch_31","Firm C",9,9,TRUE,2,0,2,2,0.22
"batch_32","Firm F",10,7,FALSE,8,0,8,8,0.8
"batch_33","Firm F",7,7,TRUE,2,0,2,2,0.29
"batch_34","Firm A",7,6,FALSE,6,0,6,6,0.86
"batch_35","Firm A",6,6,TRUE,5,0,5,4,0.67
"batch_36","Firm E",5,5,TRUE,3,0,3,3,0.6
"batch_37","Firm E",7,4,FALSE,5,0,5,4,0.57
"batch_38","Firm A",4,4,TRUE,3,0,3,3,0.75
"batch_39","Firm A",33,4,FALSE,24,0,24,24,0.73
"batch_40","Firm A",26,4,FALSE,24,0,24,23,0.88
"batch_41","Firm E",18,3,FALSE,12,0,12,12,0.67
"batch_42","Firm A",45,2,FALSE,41,0,41,41,0.91
"batch_43","Firm F",9,2,FALSE,8,0,8,8,0.89
"batch_44","Firm B",71,1,FALSE,69,12,57,57,0.8
"batch_45","Firm C",27,1,FALSE,6,0,6,6,0.22
"batch_46","Firm C",27,1,FALSE,6,0,6,6,0.22
"batch_47","Firm C",27,1,FALSE,6,0,6,6,0.22
"batch_48","Firm C",27,1,FALSE,6,0,6,6,0.22
"batch_49","Firm C",27,1,FALSE,6,0,6,6,0.22
"batch_50","Firm C",27,1,FALSE,6,0,6,6,0.22
"batch_51","Firm C",27,1,FALSE,6,0,6,6,0.22
"batch_52","Firm C",27,1,FALSE,6,0,6,6,0.22
"batch_53","Firm C",27,1,FALSE,6,0,6,5,0.19
"batch_54","Firm C",27,1,FALSE,6,0,6,6,0.22
"batch_55","Firm C",36,1,FALSE,29,0,29,27,0.75
"batch_56","Firm E",5,1,FALSE,5,0,5,4,0.8
"batch_57","Firm E",11,1,FALSE,4,0,4,4,0.36
"batch_58","Firm A",8,1,FALSE,7,0,7,7,0.88
"batch_59","Firm A",3,1,FALSE,3,0,3,3,1
"batch_60","Firm A",2,1,FALSE,2,0,2,2,1
"batch_61","Firm A",38,1,FALSE,29,0,29,29,0.76
"batch_62","Firm A",18,1,FALSE,16,0,16,16,0.89
"batch_63","Firm B",22,1,FALSE,19,0,19,19,0.86
"batch_64","Firm B",56,1,FALSE,50,0,50,48,0.86
"batch_65","Firm B",19,1,FALSE,16,0,16,16,0.84
