"variable","all_n","all_mean","all_sd","rural_n","rural_mean","rural_sd","urban_n","urban_mean","urban_sd"
"Age",672,23.51,2.91,570,23.4,2.74,102,24.14,3.67
"Female",672,0.92,0.27,570,0.93,0.26,102,0.86,0.35
"Education (1-12)",672,6.72,2.86,570,6.75,2.84,102,6.56,2.96
"Completed grade 10",672,0.94,0.23,570,0.95,0.22,102,0.9,0.3
"Married",672,0.21,0.41,570,0.19,0.4,102,0.29,0.46
"Has children",567,0.02,0.14,492,0.02,0.14,75,0.03,0.16
"Household size",672,1.72,1.15,570,1.6,0.98,102,2.4,1.67
"Born in Sidama",672,0.85,0.35,570,0.87,0.34,102,0.78,0.41
"Speaks Sidamigna (1-5)",672,4.24,1.3,570,4.34,1.22,102,3.72,1.61
"Speaks Amharic (1-5)",672,2.98,0.97,570,2.84,0.88,102,3.75,1.06
"Share of life urban",672,0.32,0.27,570,0.22,0.12,102,0.88,0.18
"Years in Hawassa",672,6.51,6.12,570,4.59,2.81,102,17.27,8.16
"Co-hire set size",671,39.2,23.32,570,39.71,23.56,101,36.36,21.78
"Days since hire",634,41.02,28.06,539,41.46,28.42,95,38.49,25.93
