"region","zone","n","share"
"Sidama","Northern Sidama",217,0.323
"Sidama","Central Sidama",124,0.185
"Sidama","Southern Sidama",81,0.121
"Sidama","Hawassa City Administration",78,0.116
"Sidama","Eastern Sidama",74,0.11
"South Ethiopia","Wolayta",49,0.073
"Central Ethiopia","Kembata",12,0.018
"South Ethiopia","Gamo",4,0.006
"South Ethiopia","Gofa",3,0.004
"South Ethiopia","Kore/Amaro",3,0.004
"Southwest Ethiopia","Dawro",3,0.004
"Central Ethiopia","Tembaro esp. Woreda",3,0.004
"Oromia","West Arsi",3,0.004
"South Ethiopia","Gedeo",2,0.003
"Amhara","Not listed",2,0.003
"Central Ethiopia","Hadiya",2,0.003
"Addis Ababa","Addis Ababa",1,0.001
"Amhara","North Shewa",1,0.001
"Amhara","North Wollo",1,0.001
"Amhara","South Wollo",1,0.001
"Oromia","Not listed",1,0.001
"Oromia","Borena",1,0.001
"Oromia","East Hararghe",1,0.001
"Oromia","East Welega",1,0.001
"Oromia","Guji",1,0.001
"Oromia","Jimma",1,0.001
"Oromia","North Shewa",1,0.001
"Oromia","West Guji",1,0.001
