"layer","expectation","n_fwd","n_both","pct_recip","jaccard"
"Co-hire recall","Expected reciprocal",1203,432,0.359,0.219
"navigate hawassa","Expected reciprocal",205,48,0.234,0.133
"commute","Expected reciprocal",287,98,0.341,0.206
"meet outside work","Expected reciprocal",209,58,0.278,0.161
"call or text","Expected reciprocal",275,82,0.298,0.175
"workplace breaks","Expected reciprocal",413,124,0.3,0.177
"friends","Expected reciprocal",355,110,0.31,0.183
"rosca ekub","Expected reciprocal",21,0,0,0
"advice personal decision","Expected directional",209,38,0.182,0.1
"borrow money (in)","Expected directional",217,30,0.138,0.074
"large expenses (in)","Expected directional",43,0,0,0
"job search","Expected directional",174,26,0.149,0.081
"assistance (in)","Expected directional",103,18,0.175,0.096
"borrow money (out)","Expected directional",79,4,0.051,0.026
"large expenses (out)","Expected directional",7,0,0,0
"assistance (out)","Expected directional",22,0,0,0
