"region","woreda","n","share"
"Sidama","Hawela Tula",60,0.092
"Sidama","Hawassa Zuria",56,0.086
"Sidama","Harbagona",48,0.073
"Sidama","Shebedino",47,0.072
"Sidama","Dalle",44,0.067
"Sidama","Bansa",33,0.05
"Sidama","Borricha",27,0.041
"Sidama","Aleta Wondo",27,0.041
"Sidama","Hawela",26,0.04
"Sidama","Aleta Cukko",20,0.031
"Sidama","Bona Zuria",18,0.028
"Sidama","Bilate Zuria",18,0.028
"Sidama","Malga",14,0.021
"Sidama","Bursa",13,0.02
"Sidama","Leku Town Admin",12,0.018
"Sidama","Tabor Sub-city",11,0.017
"Sidama","Yirgalem Town Admin",10,0.015
"Sidama","Hula",10,0.015
"Sidama","Lokka Abayya",9,0.014
"South Ethiopia","Duguna Fango",9,0.014
"Sidama","Wondo Genet",8,0.012
"Sidama","Cirre",7,0.011
"Sidama","Darara",7,0.011
"Sidama","Gorche",7,0.011
"South Ethiopia","Sodo Town Admin",7,0.011
"Central Ethiopia","Durame Town",7,0.011
"Sidama","Hookko",6,0.009
"Sidama","Wonsho",5,0.008
"Sidama","Xexicha",5,0.008
"South Ethiopia","Kindo Kosha",5,0.008
"South Ethiopia","Damot Weyde",5,0.008
"South Ethiopia","Sodo Zuria",4,0.006
"Sidama","Dayye Town Admin",3,0.005
"Sidama","Hororessa",3,0.005
"Sidama","Addis Ketema Sub-city",3,0.005
"South Ethiopia","Humbo",3,0.005
"South Ethiopia","Bodit Town Admin",3,0.005
"South Ethiopia","Kore/Amaro",3,0.005
"Sidama","Burra",2,0.003
"Sidama","Wondo Genet Town Admin",2,0.003
"Sidama","Cirone",2,0.003
"Sidama","Aleta Wondo Town Admin",2,0.003
"Sidama","Misrak Sub-city",2,0.003
"South Ethiopia","Areka Town Admin",2,0.003
"South Ethiopia","Offa",2,0.003
"South Ethiopia","Oyda",2,0.003
"Central Ethiopia","Hadero Tunto",2,0.003
"Central Ethiopia","Tembaro esp.",2,0.003
"Oromia","Shashemene",2,0.003
"Addis Ababa","Kolfe Keranio",1,0.002
"Sidama","Darra Qawado",1,0.002
"Sidama","Mehal Ketema Sub-city",1,0.002
"Sidama","Bahil Adarash Sub-city",1,0.002
"South Ethiopia","Kindo Didaye",1,0.002
"South Ethiopia","Boloso Sore",1,0.002
"South Ethiopia","Bayra Koysha",1,0.002
"South Ethiopia","Boloso Bombe",1,0.002
"South Ethiopia","Damot Gale",1,0.002
"South Ethiopia","Damot Pulasa",1,0.002
"South Ethiopia","Damot Sore",1,0.002
"South Ethiopia","Dilla Zuria",1,0.002
"South Ethiopia","Bochore",1,0.002
"South Ethiopia","Garda Marta",1,0.002
"South Ethiopia","Kemba",1,0.002
"South Ethiopia","Kucha",1,0.002
"South Ethiopia","Bulki Town",1,0.002
"Southwest Ethiopia","Isara",1,0.002
"Southwest Ethiopia","Kechi",1,0.002
"Southwest Ethiopia","Tocha",1,0.002
"Amhara","Kobo",1,0.002
"Central Ethiopia","Gibe",1,0.002
"Central Ethiopia","Kacha Bira",1,0.002
"Oromia","Harar",1,0.002
"Oromia","Nekemte",1,0.002
"Oromia","Adola",1,0.002
"Oromia","Seka Chekorsa",1,0.002
"Oromia","Fiche",1,0.002
"Oromia","Dodola",1,0.002
