"outcome","var","n","mean_y","sd_y","b","se","p","beta_std","mde_std","b_fe","se_fe","p_fe","p_ri"
"Age","age",644,23.5139751552795,2.93762904778648,2.30428211194072,1.68204795373176,0.175496905235173,0.066775883459855,0.136483577744526,1.92573353179842,1.67955608105402,0.255826854617402,0.116941529235382
"Female","female",644,0.927018633540373,0.260308095289799,0.0889258176697974,0.301639779998986,0.7690947581081,0.0290817904534622,0.27621033229529,-0.0318535073572661,0.261776055779875,0.903531907481495,0.616691654172913
"Education (1--12)","education",644,6.6972049689441,2.84868662786925,1.51372880727756,1.60888913440467,0.350317748990394,0.0452360157923413,0.13462335858182,1.5650314566128,1.41141624485712,0.271649683843295,0.325337331334333
"Grade 10 or above","educ_grade10",644,0.942546583850932,0.232887826349334,0.0682800723541898,0.0804639165014536,0.399277819657781,0.0249590547239758,0.0823556424716867,0.0613726101321801,0.082380604569851,0.459005734644188,0.443778110944528
"Married","married",644,0.212732919254658,0.409558405100363,0.226267721347117,0.157519240420861,0.155746231590101,0.0470313784999773,0.0916762299316764,0.180826842384344,0.168631019650082,0.287602095165196,0.164917541229385
"Has children","has_children",542,0.022140221402214,0.147275424093467,0.0118275921096452,0.0380282023177363,0.756880440164569,0.00668364577528048,0.0601701249026425,0.0232964940330907,0.0312491176182609,0.458923979104031,0.801099450274863
"Household size","hh_size",644,1.73447204968944,1.16292835750613,0.336557678457163,0.556782625949118,0.547669090627181,0.0246369811144508,0.114122609500661,0.287536258113217,0.560652618177099,0.609815018370201,0.530234882558721
"Born in Sidama","born_sidama",644,0.857142857142857,0.350199105458131,-0.174873624311129,0.213382556144579,0.415525073326589,-0.0425099140290709,0.145238869656172,-0.225234921034521,0.206924403883334,0.280461315317408,0.405297351324338
"Born in modal woreda","born_modal_woreda",627,0.0925039872408294,0.289967412347826,0.0703223275233143,0.189659116450539,0.712063227935767,0.0207347056598105,0.156580037416907,0.014974425308455,0.174022898003761,0.931705076947291,0.667166416791604
"Sidamigna fluency (1--5)","sidamigna",644,4.25776397515528,1.28347020612951,-0.576517483403461,0.765698572032075,0.454252663704646,-0.0382390979303869,0.142203742067062,-0.891926554372621,0.728578916118947,0.22536410520974,0.474262868565717
"Amharic fluency (1--5)","amharic",644,2.96583850931677,0.955664496661251,0.349560762638172,0.717883850167675,0.627969929383154,0.0311385348581136,0.179055518550437,0.449899786550901,0.733068349127454,0.541574698279229,0.503248375812094
"Share of life urban","urban",644,0.312757916615075,0.269356744376872,0.208249228982793,0.139138210338824,0.139384963824292,0.0658167595052308,0.123128202122289,0.17143735541122,0.147154062700283,0.248335112975002,0.0754622688655672
"Never lived rural","never_rural",644,0.0947204968944099,0.293056106097551,0.154316829786289,0.164554843511199,0.351881252291998,0.0448273912947743,0.133843989895847,0.11860879856093,0.184902786368958,0.523510881730038,0.168915542228886
