"column","term","b","se","p","n"
1,"inheritedTRUE",0.410712841114723,0.0645682907917339,2.00566906179569e-10,476
1,"same_woredaTRUE",-0.0181984711102354,0.0890230472172334,0.838021968797977,476
1,"inheritedTRUE:same_woredaTRUE",NA,NA,NA,476
1,"shared_lang",0.0536438037208683,0.146060670460498,0.713417112186875,476
1,"same_pu",-0.0561891926310918,0.061133059337282,0.358027888999224,476
1,"co_residentTRUE",NA,NA,NA,476
1,"kinTRUE",NA,NA,NA,476
1,"friendTRUE",NA,NA,NA,476
2,"inheritedTRUE",0.799010747962179,0.171327599348201,3.10660232121354e-06,249
2,"same_woredaTRUE",-0.531235952027777,0.234110913011948,0.0232583815426481,249
2,"inheritedTRUE:same_woredaTRUE",NA,NA,NA,249
2,"shared_lang",1.03381988760653,0.532286526897383,0.0521099388143417,249
2,"same_pu",0.140781920036184,0.167908806703184,0.401782093649767,249
2,"co_residentTRUE",NA,NA,NA,249
2,"kinTRUE",NA,NA,NA,249
2,"friendTRUE",NA,NA,NA,249
3,"inheritedTRUE",0.608208989244132,0.175827987329927,0.000541956193168046,249
3,"same_woredaTRUE",-0.4753094308371,0.245497893205763,0.0528549758036318,249
3,"inheritedTRUE:same_woredaTRUE",NA,NA,NA,249
3,"shared_lang",0.810399611141921,0.508063655871862,0.110695476125086,249
3,"same_pu",0.161837717004016,0.162022414401486,0.317862491194289,249
3,"co_residentTRUE",NA,NA,NA,249
3,"kinTRUE",0.862890510714574,0.285891395488984,0.00254242577304297,249
3,"friendTRUE",0.84064576817813,0.159562435554947,1.37584944647861e-07,249
4,"inheritedTRUE",0.634259722614661,0.179426399235496,0.000407883529175143,249
4,"same_woredaTRUE",-0.0375155352785702,0.273485980268484,0.890892193932437,249
4,"inheritedTRUE:same_woredaTRUE",-0.549830500669221,0.362591903956823,0.129420931040836,249
4,"shared_lang",0.821348577282502,0.508539982676435,0.106286634850608,249
4,"same_pu",0.161516891316835,0.160276967045841,0.313581152699126,249
4,"co_residentTRUE",NA,NA,NA,249
4,"kinTRUE",0.908355086352238,0.281061945985656,0.00122983888077069,249
4,"friendTRUE",0.860671952196995,0.153161643509274,1.91654968988291e-08,249
5,"inheritedTRUE",0.201424991511979,0.0608307064150071,0.000928839284421446,3030
5,"same_woredaTRUE",-0.122703166098076,0.0293903023286163,2.98046012195215e-05,3030
5,"inheritedTRUE:same_woredaTRUE",NA,NA,NA,3030
5,"shared_lang",NA,NA,NA,3030
5,"same_pu",NA,NA,NA,3030
5,"co_residentTRUE",0.360761794169642,0.0356883277414758,5.05621994949468e-24,3030
5,"kinTRUE",NA,NA,NA,3030
5,"friendTRUE",NA,NA,NA,3030
6,"inheritedTRUE",0.315152619500694,0.0744615956821915,2.31191917190942e-05,3022
6,"same_woredaTRUE",-0.12456963363676,0.0369726748187482,0.00075377106862871,3022
6,"inheritedTRUE:same_woredaTRUE",NA,NA,NA,3022
6,"shared_lang",NA,NA,NA,3022
6,"same_pu",NA,NA,NA,3022
6,"co_residentTRUE",0.372747862901916,0.0438191312814487,1.79247698769668e-17,3022
6,"kinTRUE",NA,NA,NA,3022
6,"friendTRUE",NA,NA,NA,3022
7,"inheritedTRUE",0.328484984175938,0.0748918504373313,1.15388063211451e-05,3022
7,"same_woredaTRUE",-0.0680065007097598,0.0399775355984686,0.0889208535758379,3022
7,"inheritedTRUE:same_woredaTRUE",NA,NA,NA,3022
7,"shared_lang",NA,NA,NA,3022
7,"same_pu",NA,NA,NA,3022
7,"co_residentTRUE",0.400428405698453,0.0448550321031725,4.37053550294607e-19,3022
7,"kinTRUE",0.45243395358678,0.0798824923368782,1.48105674497931e-08,3022
7,"friendTRUE",0.677301567560527,0.0757429592261439,3.81823203664058e-19,3022
8,"inheritedTRUE",0.33587983088308,0.0904878286471695,0.000205726694443862,3022
8,"same_woredaTRUE",-0.0433184532835237,0.142131799321934,0.760536268560952,3022
8,"inheritedTRUE:same_woredaTRUE",-0.0266918364874108,0.149472611429738,0.85827266113926,3022
8,"shared_lang",NA,NA,NA,3022
8,"same_pu",NA,NA,NA,3022
8,"co_residentTRUE",0.400108287773493,0.0448565153912508,4.673998611327e-19,3022
8,"kinTRUE",0.453842394159203,0.0808923393842834,2.01801624885508e-08,3022
8,"friendTRUE",0.677800590602096,0.0760704054409064,5.09522820680613e-19,3022
