"layer","origin_raw","kinship"
"advice personal decision","0.0343474684953406","0.0676740351386319"
"borrow money (in)","0.00956436225761159","-0.0102526672595462"
"large expenses (in)","0.203152975049797","0.392049931738085"
"job search","0.000631989010246699","0.0031183146971816"
"navigate hawassa","-0.0421641346552898","-0.00220714150069753"
"commute","-0.0657705779777678","-0.125683478581876"
"meet outside work","-0.058472986810166","-0.165636157803368"
"call or text","0.0273283605543662","-0.0124705366988009"
"workplace breaks","-0.147128549631398","-0.0949713559992316"
"friends","-0.0607977990003396","-0.276639992103612"
"assistance (in)","0.0806051481695393","0.156079409584121"
"rosca ekub","-0.0150172475845658","-0.0290276443796021"
"borrow money (out)","-0.0351735403550286","-0.0769149099400034"
"large expenses (out)","0.0696492568711434","0.154252858763971"
"assistance (out)","-0.000754724393489338","0.0206293343447477"
