"spec","layer","b","se","p"
"Co-hire, origin alone","advice personal decision",0.0457624884672585,0.0443823816107065,0.302495884560184
"Co-hire, origin alone","borrow money (in)",0.0497561618558017,0.0483578561613027,0.303519247002472
"Co-hire, origin alone","large expenses (in)",-0.0233557400817448,0.0310008010453315,0.451214687512407
"Co-hire, origin alone","job search",0.00270199024645783,0.0493822832883119,0.956364895989862
"Co-hire, origin alone","navigate hawassa",-0.000896269935432098,0.0473084845329749,0.984884800802847
"Co-hire, origin alone","commute",0.0465533148807133,0.047319815417807,0.325213023020128
"Co-hire, origin alone","meet outside work",0.122670357189943,0.0481693451139548,0.0108763140036561
"Co-hire, origin alone","call or text",-0.0756689073415306,0.0484307152566018,0.118190103223871
"Co-hire, origin alone","workplace breaks",0.00238565968102262,0.0501437398331882,0.962053823993767
"Co-hire, origin alone","friends",-0.0135494925530648,0.0498071165659518,0.785591810242826
"Co-hire, origin alone","assistance (in)",-0.0234348227230899,0.0383519345710388,0.541168669971454
"Co-hire, origin alone","rosca ekub",-0.0193225253723579,0.0310932175157623,0.534311085456165
"Co-hire, origin alone","borrow money (out)",-0.0376301568472469,0.03663807054421,0.304383728973617
"Co-hire, origin alone","large expenses (out)",-0.0237511532885261,0.026643645219143,0.372694330165066
"Co-hire, origin alone","assistance (out)",-0.0522209041782037,0.022707442309202,0.0214637264168821
"Co-hire, controlled","advice personal decision",0.0423369594459126,0.0465320579738436,0.362904268377838
"Co-hire, controlled","borrow money (in)",0.00909311531415251,0.0504814798827207,0.857052278705184
"Co-hire, controlled","large expenses (in)",-0.00771169168843985,0.0327204589439211,0.813677814177155
"Co-hire, controlled","job search",0.0226294067602638,0.0515869335607285,0.660903946327183
"Co-hire, controlled","navigate hawassa",-0.0443167476152708,0.0470983372793212,0.346735192708913
"Co-hire, controlled","commute",-0.0029323382540794,0.0485882644947479,0.951876282088836
"Co-hire, controlled","meet outside work",0.0578214620443665,0.0490664442864867,0.23862447565098
"Co-hire, controlled","call or text",-0.0921722977065135,0.0512281688819709,0.0719790976048182
"Co-hire, controlled","workplace breaks",0.043615409156969,0.0530177458796163,0.41070318848479
"Co-hire, controlled","friends",0.0222882410000936,0.0506965978859846,0.660198026465205
"Co-hire, controlled","assistance (in)",-0.0184646136283391,0.0393575469246968,0.638962049791073
"Co-hire, controlled","rosca ekub",0.0245510351091361,0.0330453714542286,0.457512385138261
"Co-hire, controlled","borrow money (out)",-0.0257550040435992,0.0396258184890175,0.515721204983604
"Co-hire, controlled","large expenses (out)",0.00342521846457083,0.0250001459664822,0.891024520160982
"Co-hire, controlled","assistance (out)",-0.034408154359223,0.0262061119294987,0.189188999398098
"General network, origin alone","advice personal decision",0.0343474684953406,0.0138270121707369,0.0129884933827944
"General network, origin alone","borrow money (in)",0.00956436225761159,0.0145986335645464,0.512368207026317
"General network, origin alone","large expenses (in)",0.203152975049797,0.015265876972867,2.08946053868371e-40
"General network, origin alone","job search",0.000631989010246699,0.0135682633412158,0.962849188137494
"General network, origin alone","navigate hawassa",-0.0421641346552898,0.0136465791121726,0.00200343972467111
"General network, origin alone","commute",-0.0657705779777678,0.0149998923229912,1.16126165879075e-05
"General network, origin alone","meet outside work",-0.058472986810166,0.0148328199312034,8.07593093503481e-05
"General network, origin alone","call or text",0.0273283605543662,0.0149806229629278,0.0681146980977904
"General network, origin alone","workplace breaks",-0.147128549631398,0.0157864653869797,1.16431172596024e-20
"General network, origin alone","friends",-0.0607977990003396,0.0156808727890237,0.000105667737470798
"General network, origin alone","assistance (in)",0.0806051481695393,0.01387696466992,6.30133628012864e-09
"General network, origin alone","rosca ekub",-0.0150172475845658,0.0112878698069262,0.183390435693473
"General network, origin alone","borrow money (out)",-0.0351735403550286,0.0125360882327529,0.00501945187251097
"General network, origin alone","large expenses (out)",0.0696492568711434,0.0106732846002969,6.77437880542565e-11
"General network, origin alone","assistance (out)",-0.000754724393489338,0.0108277148490938,0.944430040311194
"General network, controlled","advice personal decision",-0.00503274007249104,0.0156173408043617,0.74726078634926
"General network, controlled","borrow money (in)",0.012037873804337,0.0165573272325119,0.467200171824535
"General network, controlled","large expenses (in)",0.0171022234905556,0.0155267718571761,0.270693552478265
"General network, controlled","job search",-0.00658183012312574,0.0157109222897723,0.675264804984661
"General network, controlled","navigate hawassa",-0.0471000707627835,0.0154484287304931,0.00229712773478525
"General network, controlled","commute",0.00275522633693222,0.0176187138475103,0.875732970097711
"General network, controlled","meet outside work",0.00826638082859767,0.0174101160733693,0.634927169866553
"General network, controlled","call or text",0.0255694249614047,0.0173141164585375,0.139730220231334
"General network, controlled","workplace breaks",-0.0550977688280572,0.0169323073571674,0.00113791317253683
"General network, controlled","friends",0.0518812889376663,0.0178406850607346,0.00363710734711333
"General network, controlled","assistance (in)",0.00405268892198163,0.0150717213448137,0.788011587064494
"General network, controlled","rosca ekub",0.00104719368939996,0.0124556246503137,0.93299762818689
"General network, controlled","borrow money (out)",-0.0023760652715502,0.0144842300233079,0.86969573193877
"General network, controlled","large expenses (out)",0.00365705878379406,0.0117027394391845,0.754663633672538
"General network, controlled","assistance (out)",-0.0101808846966614,0.0117609179359293,0.386679977699799
