"roster","layer","prevalence","b","se","p","n","lo","hi"
"Co-hire ties","advice personal decision",0.314868804664723,0.25,0.0936246270939471,0.00827377109842184,399,0.0664957308958637,0.433504269104136
"Co-hire ties","borrow money (in)",0.32798833819242,0.210227272727273,0.0871527391946371,0.0168622049716403,399,0.0394079039057841,0.381046641548762
"Co-hire ties","large expenses (in)",0.064139941690962,0.0767045454545455,0.058708087541472,0.193035431383277,399,-0.0383633061267397,0.191772397035831
"Co-hire ties","job search",0.25801749271137,0.1875,0.0860257609202257,0.0305872091089702,399,0.0188895085963576,0.356110491403642
"Co-hire ties","navigate hawassa",0.30466472303207,0.301136363636364,0.0834751407451369,0.000400375138133727,399,0.137525087775895,0.464747639496832
"Co-hire ties","commute",0.435860058309038,0.321022727272727,0.0832596712096544,0.00016049971376998,399,0.157833771701805,0.48421168284365
"Co-hire ties","meet outside work",0.316326530612245,0.173295454545455,0.0914196439456672,0.0596149028190445,399,-0.00588704758805303,0.352477956678962
"Co-hire ties","call or text",0.41399416909621,0.09375,0.0841158866049548,0.266536164268332,399,-0.0711171377457114,0.258617137745711
"Co-hire ties","workplace breaks",0.616618075801749,0.105113636363636,0.0865262430171611,0.226026699131788,399,-0.0644777999499994,0.274705072677272
"Co-hire ties","friends",0.532069970845481,0.0965909090909091,0.111046665495957,0.385555749005906,399,-0.121060555281167,0.314242373462985
"Co-hire ties","assistance (in)",0.151603498542274,0.213068181818182,0.0613719235637656,0.000647399488643538,399,0.0927792116332012,0.333357152003163
"Co-hire ties","rosca ekub",0.0306122448979592,0.03125,0.0381328120011474,0.41358256667285,399,-0.0434903115222488,0.105990311522249
"Co-hire ties","borrow money (out)",0.122448979591836,0.0596590909090909,0.0736871505380062,0.419223682889187,399,-0.0847677241454013,0.204085905963583
"Co-hire ties","large expenses (out)",0.0102040816326531,0.0397727272727273,0.0279110699177361,0.155894462952991,399,-0.0149329697660355,0.09447842431149
"Co-hire ties","assistance (out)",0.033527696793003,0.0369318181818182,0.0384405083213987,0.337965374850232,399,-0.0384115781281232,0.11227521449176
"General network","advice personal decision",0.246791707798618,0.151210110169776,0.0277604896068203,7.2382929056726e-08,3029,0.0967995505404083,0.205620669799144
"General network","borrow money (in)",0.26423165514972,0.0634764408616387,0.0373136338937875,0.0893840650465531,3029,-0.00965828157018488,0.136611163293462
"General network","large expenses (in)",0.259953932214544,0.308865700254326,0.0231162206939467,3.26785562146039e-36,3029,0.263557907694191,0.354173492814462
"General network","job search",0.192168476472524,0.120143334891244,0.028540596075552,2.9134609755822e-05,3029,0.0642037665831617,0.176082903199325
"General network","navigate hawassa",0.211253701875617,0.125972913471444,0.0297568844706602,2.62828943650539e-05,3029,0.0676494199089497,0.184296407033938
"General network","commute",0.220138203356368,-0.130301699885894,0.0400725842842513,0.0012057935558078,3029,-0.208843965083027,-0.0517594346887617
"General network","meet outside work",0.25534715366897,0.0852096902549364,0.0372003347006857,0.022303180213969,3029,0.0122970342415924,0.15812234626828
"General network","call or text",0.268838433695295,0.161875703812172,0.0352967375885784,5.40298466990582e-06,3029,0.092694098138558,0.231057309485785
"General network","workplace breaks",0.168805528134255,-0.505019774761859,0.0420609085598107,3.53108688442037e-30,3029,-0.587459155539088,-0.42258039398463
"General network","friends",0.301085883514314,0.0575161688411131,0.0386846955011056,0.137546802459907,3029,-0.018305834341054,0.13333817202328
"General network","assistance (in)",0.23395853899309,0.18669511440336,0.0313711454819608,4.32230986186387e-09,3029,0.125207669258717,0.248182559548003
"General network","rosca ekub",0.0565975649884832,0.0205012320620525,0.0182516224953069,0.261737487273236,3029,-0.0152719480287491,0.0562744121528541
"General network","borrow money (out)",0.159591971043106,0.0646793178131564,0.0307545822888804,0.0358368559470897,3029,0.00440033652695083,0.124958299099362
"General network","large expenses (out)",0.0878578479763077,0.0985963585329999,0.0214339975724548,5.06609492830114e-06,3029,0.0565857232909885,0.140606993775011
"General network","assistance (out)",0.114511352418558,0.10568008252899,0.0250669589779892,2.83473706532181e-05,3029,0.056548842932131,0.154811322125849
